data_ref_safra,seller_id,uf,tot_orders_12m,tot_items_12m,tot_items_dist_12m,receita_12m,recencia,nao_revendeu_next_6m
2018-01-01,0ac4201fda2c68ebc0e47cb9423cf3c9,SP,5,5,3,557.96,41,0
2018-01-01,0ad80de75c811326389cfb1daba7d45e,RJ,5,5,5,1219.5,27,0
2018-01-01,0adac9fbd9a2b63cccaac4f8756c1ca8,SP,64,86,43,9527.389999999989,21,0
2018-01-01,0ade5cc4a305ed7093a23f68ca47519c,PR,1,1,1,79.89,37,0
2018-01-01,0aea4c6ae1505b3228ddf3dd7822ee5b,SP,2,2,2,476.97,48,0
2018-01-01,0afccdb8a34ee5c79f7c06faf2b4d56e,MG,22,22,10,1105.7999999999997,3,0
2018-01-01,0b09101900100c0e9d312861fad5a1b9,SP,1,1,1,153.75,338,1
2018-01-01,0b18d63d0cd1d723567903fd34a07df2,SP,6,9,6,1086.46,122,0
2018-01-01,0b35c634521043bf4b47e21547b99ab5,PR,3,5,5,1571.9,5,0
2018-01-01,0b36063d5818f81ccb94b54adfaebbf5,SC,1,15,1,765.0,335,1
2018-01-01,0b3f27369a4d8df98f7eb91077e438ac,SP,2,2,2,146.51,39,1
2018-01-01,0b46f784306be7200ca1700aa55d819f,MG,1,1,1,19.9,287,1
2018-01-01,0b90b6df587eb83608a64ea8b390cf07,PR,12,16,10,3676.5399999999995,9,0
2018-01-01,0bae85eb84b9fb3bd773911e89288d54,SP,78,85,34,4484.149999999996,0,0
2018-01-01,0bb27263628258b8111a0262769fa9db,SP,1,1,1,22.2,274,1
2018-01-01,0bb738e4d789e63e2267697c42d35a2d,SP,15,16,4,1052.4999999999998,4,0
2018-01-01,0be8ff43f22e456b4e0371b2245e4d01,SP,59,70,48,4027.2000000000044,2,0
2018-01-01,0bf0150d5b9d60d9cd2906003332f085,SP,29,46,12,4037.700000000002,4,0
2018-01-01,0bfd0b434243adc5c2e1aa6baf19c6aa,RJ,5,5,5,286.3,18,0
2018-01-01,0c7533c71df861ec58ad7ff999ed0e8d,SP,30,35,18,1305.4000000000003,10,0
2018-01-01,0c7f30ae9b147eca07affbef92832a6a,PR,5,5,4,479.5,258,1
2018-01-01,0c8380b62e38e8a1e6adbeba7eb9688c,MG,149,181,68,14740.499999999965,32,0
2018-01-01,0cbcee27c791afa0cdcb08587a2013a8,MG,16,17,8,2323.0,18,0
2018-01-01,0d33a55da925bbf1ff02af5f6059fc7f,SP,3,3,1,32.7,34,0
2018-01-01,0d4c8269e7f0401201794deef160edd6,SP,3,4,4,792.64,54,1
2018-01-01,0d83f8e03188682112cc0d93523705cc,RS,2,3,2,251.76,14,0
2018-01-01,0d85bbda9889ce1f7e63778d24f346eb,MG,45,47,15,3652.300000000003,37,0
2018-01-01,0db783cfcd3b73998abc6e10e59a102f,SP,98,101,12,7209.5999999999985,2,0
2018-01-01,0dd184061fb0eaa7ca37932c68ab91c5,SP,2,2,2,199.0,18,0
2018-01-01,0df3984f9dfb3d49ac6366acbd3bbb85,MG,38,38,17,5046.499999999999,20,0
2018-01-01,0e44d110fa6a54e121cb2c095a77762f,SP,5,5,5,189.24,17,0
2018-01-01,0e982cff76cc0579f632cea8a0e38c9d,SC,1,1,1,320.0,95,0
2018-01-01,0ea22c1cfbdc755f86b9b54b39c16043,MG,170,197,119,8078.899999999971,0,0
2018-01-01,0eaa7e33d73809f1f925f7d07c506cbd,SP,11,11,10,1228.0,28,0
2018-01-01,0ebd97a106433a45a4aebe57c1799778,MG,17,17,7,1818.3000000000004,3,0
2018-01-01,0ed6ce5d87fd9c69eaacaeb778d67235,SP,8,8,5,600.1999999999999,1,0
2018-01-01,0ee4fb99ac55ffbbc98795aa01b7f8fa,SP,1,1,1,59.9,244,1
2018-01-01,0ef83d7d83ed97cd2a0049ac8be5f88a,PR,10,12,3,939.5499999999998,13,0
2018-01-01,0f519b0d2e5eb2227c93dd25038bfc01,SP,1,1,1,79.9,338,1
2018-01-01,0f94588695d71662beec8d883ffacf09,SC,1,1,1,9.0,305,1
2018-01-01,0ff83046c3fa22efee8ecf291888b191,RS,7,8,5,559.1999999999999,21,0
2018-01-01,10076e5788b8ee532724bcd460baf762,SP,9,9,5,285.2,29,0
2018-01-01,10089e9f2fd0c668a8fd4e52e1698888,SP,3,3,3,1139.9,47,1
2018-01-01,1025f0e2d44d7041d6cf58b6550e0bfa,SP,233,407,56,33234.850000000115,1,0
2018-01-01,1099a00e0ee3a50935e6c2447ca090c5,RJ,2,2,2,599.8,22,0
2018-01-01,10ff823eda2b032e2c93d17a7d294736,SP,4,4,3,636.28,27,0
2018-01-01,1127b7f2594683f2510f1c2c834a486b,SP,79,89,52,4368.480000000002,8,0
2018-01-01,11305281b50fff20ae8bb473f8e11876,MG,18,21,15,4103.89,27,0
2018-01-01,113e3a788b935f48aad63e1c41dac1bd,SP,17,22,14,371.34999999999997,0,0
2018-01-01,116ccb1a1604bc88e4d234a8c23f33de,SP,17,23,12,466.50999999999993,12,0
2018-01-01,119c7f1a00ef43fad0e57604e76a747c,SP,1,1,1,149.9,77,0
2018-01-01,119d1aef1b4144adba89163f6cd9f5d4,SP,4,4,3,1094.0,44,1
2018-01-01,11bfa66332777660bd0640ee84d47006,SP,23,30,17,1300.2699999999998,3,0
2018-01-01,11d4c477d09821164bca4f70a2eae031,SP,3,4,2,83.03999999999999,125,1
2018-01-01,11eac105f3f90a9b87b19c89d91e24f3,SP,5,5,4,802.89,172,1
2018-01-01,1284de4ae8aa26997e748c851557cf0e,SP,3,3,3,1459.97,72,1
2018-01-01,128639473a139ac0f3e5f5ade55873a5,PR,227,238,52,4847.8499999999985,0,0
2018-01-01,128f9bfbe4c7d5185033914b1de3d39a,SP,7,7,4,859.0,12,0
2018-01-01,12a8eb0f8d1cd3270695bf2a99f55966,SP,2,2,2,397.0,18,1
2018-01-01,12b9676b00f60f3b700e83af21824c0e,RS,93,93,28,18305.0,1,0
2018-01-01,12c2ed9cded6138cf0c75f525f565fc7,SP,3,3,3,214.97,20,1
2018-01-01,13074f016982ff2bd6c58ced8682f000,RS,7,8,3,1123.0,27,0
2018-01-01,1336efc61c316ddf92c899eb817f7cae,SP,46,54,38,2583.4700000000003,36,0
2018-01-01,134a288e7de827ec5ec62e3ec9c3a295,SP,9,9,7,877.45,103,1
2018-01-01,1352e06ae67b410cdae0b2a22361167b,RJ,2,2,1,178.0,268,1
2018-01-01,1354d51653f645349064725ed204e85e,SP,8,8,8,950.0,7,0
2018-01-01,139157dd4daa45c25b0807ffff348363,SP,1,1,1,29.9,122,1
